split,scene,family,condition,degradation,true_siting,assumed_siting,method,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
test,test_01000_sine_coedge,sine,coedge,box,left,left,lgcr_plain_jinc,0.0036349544559785324,32.189898202471255,0.03724900889929337,0.0,0.5054973926280829,0.5054973926280829,0.1265280358759987,1.1607358746521739,0.04044634345475407,3.13101779846918e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,ablate_similarity,0.0029514044320023782,33.7154422879916,0.03065450160846965,0.0,0.39486597172467064,0.39486597172467064,0.16207110950471315,0.9553293297961918,0.03284044633619487,3.060059888022286e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,ablate_plus_rescue,0.0028302556081871858,34.26816258797778,0.029381676476857268,0.0,0.35416691027753133,0.35416691027753133,0.18212736066509938,0.9616024258764038,0.03149241419686448,2.9181440671284992e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,ablate_plus_anisotropy,0.0028110580177772983,34.3453837870269,0.02917991019673883,0.0,0.3493134205661648,0.3493134205661648,0.18567003134044396,0.9631893527871356,0.03127880228151168,2.9181440671284992e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,lgcr_algo2,0.0028533209664510857,34.24568843565218,0.029581852651019636,0.0,0.35464025977890834,0.35464025977890834,0.18288672299982478,0.9798132133899544,0.03174906367036913,2.9447532835460846e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,ablate_algo6_ungated,0.0030102163875194913,33.4727892577786,0.030653168645672156,0.0,0.4108780789971491,0.4108780789971491,0.11828097555096731,0.8937944799691964,0.033494839688674324,2.3238715671357655e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,ablate_algo6_plus_q,0.0030524198178793495,33.37863399710167,0.031077244538166616,0.0,0.41668875139743744,0.41668875139743744,0.11897207473881805,0.9145222208312422,0.033964438341735376,2.2263044402712868e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,lgcr_algo6,0.0030524522668684416,33.37864116722672,0.03107571976354285,0.0,0.41668875139743744,0.41668875139743744,0.11897207473881805,0.9145222208312422,0.033964799384453466,2.2263044402712868e-08
test,test_01000_sine_coedge,sine,coedge,box,center,center,lgcr_plain_jinc,0.0030001828299388356,34.97938704410915,0.030333345801636824,0.0,0.02511740641017815,0.02511740641017815,0.11546415562726352,1.2717179477460132,0.03338319894724658,2.7407492910112652e-08
test,test_01000_sine_coedge,sine,coedge,box,center,center,ablate_similarity,0.002270890230453777,36.82143122272248,0.023411747036117873,0.0,0.03610006510492432,0.03610006510492432,0.1283534709910219,0.8951696608461626,0.02526832524953144,2.785097985040574e-08
