study,scene,seed,family,condition,degradation,true_siting,observation,motion,base,bm,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,clean,,algo2_lanczos3,0,0.0033112357457272938,33.44092831943228,0.03390028831961986,0.0,0.4202595860153268,0.4202595860153268,0.09660755754136865,1.0759318359657217,0.0360453647472674,2.1642162686302548e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,clean,,algo2_lanczos3,1,0.0032748560555930758,33.42838557391253,0.03379986484582159,4.733681894971856e-06,0.42219398091947125,0.42219398091947125,0.09543469934684025,1.0699758714558114,0.035581832263796104,9.707514532960223e-09
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,clean,,algo6_jinc3,0,0.0031769018420502,33.68845521485445,0.03225291616131255,0.0,0.4200027938039156,0.4200027938039156,0.025646359768635,0.873819935493712,0.03458303618910057,2.1198675746009464e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,clean,,algo6_jinc3,1,0.0031218396802026966,33.66965661551927,0.03187364195392071,5.128274400097628e-06,0.422091277018893,0.422091277018893,0.027161800358427895,0.8724854288779453,0.03390233183190936,1.2124851662369857e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,clean,,algo6_lanczos4,0,0.0032508075934594687,33.67714731284172,0.032108640972226224,0.0,0.41858671397864006,0.41858671397864006,0.02587938375049628,0.8706492150590046,0.03538750779504577,2.9447532835460846e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,clean,,algo6_lanczos4,1,0.0032017350278028827,33.66990764126859,0.03196487316095694,1.1534299119375646e-05,0.42047602459475336,0.42047602459475336,0.02709656176799912,0.8697328624947289,0.034723207931078616,1.893085580359103e-08
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10,,algo2_lanczos3,0,0.0035883428882490056,33.43584044837145,0.0341120496778742,0.0002853974833020142,0.4197065202746394,0.4197065202746394,0.09524757208419594,1.0805770611644876,0.0364433009665282,3.812834620475769e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10,,algo2_lanczos3,1,0.0035448316996069093,33.425399399672344,0.03397350577515248,0.0002867343358784204,0.42153313732917186,0.42153313732917186,0.09426090928105685,1.07328603209287,0.035943077744117806,1.975468226841518e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10,,algo6_jinc3,0,0.003446155920842319,33.688642599540856,0.03241153716546597,0.0002853974833020142,0.41968389119124455,0.41968389119124455,0.025588418463751594,0.8752892608350953,0.034921954785074504,3.415913808913458e-06
Recon,bm_holdout_03000_straight_coedge,3000,straight,coedge,box,left,q10,,algo6_jinc3,1,0.003387064717495468,33.67021807412895,0.032047729386336175,0.0002880138407428084,0.4216634540562534,0.4216634540562534,0.02712892891413472,0.8740435935240156,0.03424206870563683,2.153040397734869e-06
