split,scene,family,condition,degradation,true_siting,base_kernel,mode,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
development,dev_00100_sine_misaligned,sine,misaligned,box,left,bilinear,plain,0.003940237450831551,32.15476829125978,0.04137249323373128,0.0,0.5017604401592791,0.5017604401592791,0.12819592731673926,1.452081130506096,0.043843256043536324,4.0712101118905205e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,bilinear,algo6,0.003902247872152376,31.65787069378314,0.04091992152929639,9.417167997785976e-10,0.6010129641835162,0.6010129641835162,0.1186098759476037,1.1658230081671153,0.04341937510651492,3.6632021268208824e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,bicubic_catrom,plain,0.0035002730308864014,32.50816484997373,0.03673136948782485,0.0,0.5012343052229157,0.5012343052229157,0.12063279310170817,1.169357535118689,0.038947749838587786,4.0978193283081055e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,bicubic_catrom,algo6,0.0036006706696565427,31.980057035081515,0.037644889746193906,7.054214144036883e-10,0.5780624397844273,0.5780624397844273,0.11419640282523483,0.9888384721428916,0.04006371569509307,3.060059888022286e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,bicubic_sharp,plain,0.0034422481300995914,32.56299273094386,0.03611188521764624,0.0,0.5011113214555183,0.5011113214555183,0.11768860499050764,1.1263045484266911,0.03830210441013887,4.115558805919829e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,bicubic_sharp,algo6,0.0035540092119725596,32.03564916424177,0.03713110625245636,6.797823256679944e-10,0.5744626698040121,0.5744626698040121,0.11183419362213304,0.9598747066961171,0.03954452065573562,2.9979717163812546e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,bicubic_mitchell,plain,0.004019437420055606,32.25106389088324,0.04219538444026024,0.0,0.5008102382134219,0.5008102382134219,0.10836751593290177,1.4975531134057933,0.0447245053059998,3.264063880557106e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,bicubic_mitchell,algo6,0.0038674467171583527,31.739162920416327,0.04053034725213712,8.88359777274586e-10,0.6038094561427165,0.6038094561427165,0.10139004828181247,1.1556244178814465,0.04303210942695538,3.397109962645031e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,spline16,plain,0.0034388328130140703,32.56541005254347,0.03607428602477046,0.0,0.5012029074878563,0.5012029074878563,0.11698383234893683,1.1252760885382844,0.03826410092768215,4.115558805919829e-08
development,dev_00100_sine_misaligned,sine,misaligned,box,left,spline16,algo6,0.0035510713198510487,32.03815857537489,0.037096729847863094,6.83247067389034e-10,0.5743802114892803,0.5743802114892803,0.11134043503044223,0.9591650418500641,0.03951183744218378,2.9979717163812546e-08
