scene,family,degradation,true_siting,reconstruction_kernel,x_phase,rescue_off_edge_mae,rescue_on_edge_mae,delta,max_output_delta
test_01000_sine_coedge,sine,box,left,lanczos3,exact,0.030451562255620956,0.027149494737386703,-0.003302067518234253,0.13906221091747284
test_01000_sine_coedge,sine,box,left,lanczos3,half,0.03135991096496582,0.03135991096496582,0.0,0.0
test_01000_sine_coedge,sine,triangle,left,lanczos3,exact,0.0271788090467453,0.027083197608590126,-9.561143815517426e-05,0.04040888696908951
test_01000_sine_coedge,sine,triangle,left,lanczos3,half,0.03130355477333069,0.03130355477333069,0.0,0.0
test_01000_sine_coedge,sine,bicubic,left,lanczos3,exact,0.031135249882936478,0.031013092026114464,-0.00012215785682201385,0.048187196254730225
test_01000_sine_coedge,sine,bicubic,left,lanczos3,half,0.03135867789387703,0.03135867789387703,0.0,0.0
test_01000_sine_coedge,sine,lanczos,left,lanczos3,exact,0.03433028981089592,0.03417162224650383,-0.00015866756439208984,0.0505698025226593
test_01000_sine_coedge,sine,lanczos,left,lanczos3,half,0.030396070331335068,0.030396070331335068,0.0,0.0
test_01001_chevron_coedge,chevron,box,left,lanczos3,exact,0.015432110987603664,0.012240944430232048,-0.0031911665573716164,0.16725648939609528
test_01001_chevron_coedge,chevron,box,left,lanczos3,half,0.024812456220388412,0.024812456220388412,0.0,0.0
test_01001_chevron_coedge,chevron,triangle,left,lanczos3,exact,0.027105852961540222,0.026380695402622223,-0.0007251575589179993,0.0666249543428421
test_01001_chevron_coedge,chevron,triangle,left,lanczos3,half,0.02924480102956295,0.02924480102956295,0.0,0.0
test_01001_chevron_coedge,chevron,bicubic,left,lanczos3,exact,0.03345601633191109,0.032692376524209976,-0.0007636398077011108,0.06967782974243164
test_01001_chevron_coedge,chevron,bicubic,left,lanczos3,half,0.029908321797847748,0.029908321797847748,0.0,0.0
test_01001_chevron_coedge,chevron,lanczos,left,lanczos3,exact,0.03795566409826279,0.037136003375053406,-0.0008196607232093811,0.07138626277446747
test_01001_chevron_coedge,chevron,lanczos,left,lanczos3,half,0.02853308990597725,0.02853308990597725,0.0,0.0
test_01002_straight_coedge,straight,box,left,lanczos3,exact,0.02917606011033058,0.025781778618693352,-0.00339428149163723,0.09278030693531036
test_01002_straight_coedge,straight,box,left,lanczos3,half,0.025686604902148247,0.025686604902148247,0.0,0.0
test_01002_straight_coedge,straight,triangle,left,lanczos3,exact,0.022508392110466957,0.02267923764884472,0.00017084553837776184,0.023485464975237846
test_01002_straight_coedge,straight,triangle,left,lanczos3,half,0.02693055383861065,0.02693055383861065,0.0,0.0
test_01002_straight_coedge,straight,bicubic,left,lanczos3,exact,0.0270907711237669,0.02731947973370552,0.00022870860993862152,0.025297265499830246
test_01002_straight_coedge,straight,bicubic,left,lanczos3,half,0.026690766215324402,0.026690766215324402,0.0,0.0
test_01002_straight_coedge,straight,lanczos,left,lanczos3,exact,0.030163392424583435,0.030361289158463478,0.00019789673388004303,0.025444839149713516
test_01002_straight_coedge,straight,lanczos,left,lanczos3,half,0.025503527373075485,0.025503527373075485,0.0,0.0
test_01008_straight_coedge,straight,box,left,lanczos3,exact,0.032842811197042465,0.026325935497879982,-0.006516875699162483,0.168512761592865
test_01008_straight_coedge,straight,box,left,lanczos3,half,0.025886155664920807,0.025886155664920807,0.0,0.0
test_01008_straight_coedge,straight,triangle,left,lanczos3,exact,0.029218103736639023,0.027601610869169235,-0.0016164928674697876,0.06537050008773804
test_01008_straight_coedge,straight,triangle,left,lanczos3,half,0.02930768020451069,0.02930768020451069,0.0,0.0
test_01008_straight_coedge,straight,bicubic,left,lanczos3,exact,0.03153672441840172,0.030219826847314835,-0.0013168975710868835,0.06784535944461823
test_01008_straight_coedge,straight,bicubic,left,lanczos3,half,0.027798935770988464,0.027798935770988464,0.0,0.0
test_01008_straight_coedge,straight,lanczos,left,lanczos3,exact,0.03438606113195419,0.03304967284202576,-0.0013363882899284363,0.06795361638069153
test_01008_straight_coedge,straight,lanczos,left,lanczos3,half,0.02652473747730255,0.02652473747730255,0.0,0.0
test_01009_sine_coedge,sine,box,left,lanczos3,exact,0.022565258666872978,0.019734781235456467,-0.0028304774314165115,0.1611616462469101
test_01009_sine_coedge,sine,box,left,lanczos3,half,0.01997664012014866,0.01997664012014866,0.0,0.0
test_01009_sine_coedge,sine,triangle,left,lanczos3,exact,0.02176424115896225,0.021375218406319618,-0.00038902275264263153,0.06105177104473114
test_01009_sine_coedge,sine,triangle,left,lanczos3,half,0.02312651462852955,0.02312651462852955,0.0,0.0
test_01009_sine_coedge,sine,bicubic,left,lanczos3,exact,0.020986828953027725,0.021232053637504578,0.0002452246844768524,0.05637530982494354
test_01009_sine_coedge,sine,bicubic,left,lanczos3,half,0.020246675238013268,0.020246675238013268,0.0,0.0
test_01009_sine_coedge,sine,lanczos,left,lanczos3,exact,0.021462256088852882,0.02199704386293888,0.0005347877740859985,0.06038150191307068
test_01009_sine_coedge,sine,lanczos,left,lanczos3,half,0.018846629187464714,0.018846629187464714,0.0,0.0
test_01010_chevron_coedge,chevron,box,left,lanczos3,exact,0.023799030110239983,0.02169898897409439,-0.0021000411361455917,0.1419183760881424
test_01010_chevron_coedge,chevron,box,left,lanczos3,half,0.020871058106422424,0.020871058106422424,0.0,0.0
test_01010_chevron_coedge,chevron,triangle,left,lanczos3,exact,0.02168947644531727,0.02155003882944584,-0.00013943761587142944,0.043821707367897034
test_01010_chevron_coedge,chevron,triangle,left,lanczos3,half,0.023460160940885544,0.023460160940885544,0.0,0.0
test_01010_chevron_coedge,chevron,bicubic,left,lanczos3,exact,0.021283218637108803,0.02163064479827881,0.0003474261611700058,0.05052882432937622
test_01010_chevron_coedge,chevron,bicubic,left,lanczos3,half,0.021105140447616577,0.021105140447616577,0.0,0.0
test_01010_chevron_coedge,chevron,lanczos,left,lanczos3,exact,0.022106856107711792,0.022482726722955704,0.00037587061524391174,0.054262980818748474
test_01010_chevron_coedge,chevron,lanczos,left,lanczos3,half,0.019728532060980797,0.019728532060980797,0.0,0.0
test_01016_chevron_coedge,chevron,box,left,lanczos3,exact,0.021433807909488678,0.01889406144618988,-0.0025397464632987976,0.18608060479164124
test_01016_chevron_coedge,chevron,box,left,lanczos3,half,0.018943922594189644,0.018943922594189644,0.0,0.0
test_01016_chevron_coedge,chevron,triangle,left,lanczos3,exact,0.01878298632800579,0.01837666518986225,-0.00040632113814353943,0.07362174242734909
test_01016_chevron_coedge,chevron,triangle,left,lanczos3,half,0.02201698161661625,0.02201698161661625,0.0,0.0
test_01016_chevron_coedge,chevron,bicubic,left,lanczos3,exact,0.021252969279885292,0.021051820367574692,-0.00020114891231060028,0.07453303784132004
test_01016_chevron_coedge,chevron,bicubic,left,lanczos3,half,0.020999733358621597,0.020999733358621597,0.0,0.0
test_01016_chevron_coedge,chevron,lanczos,left,lanczos3,exact,0.02361789532005787,0.02339685522019863,-0.00022104009985923767,0.07512557506561279
test_01016_chevron_coedge,chevron,lanczos,left,lanczos3,half,0.019797179847955704,0.019797179847955704,0.0,0.0
test_01017_straight_coedge,straight,box,left,lanczos3,exact,0.02417093887925148,0.022243525832891464,-0.0019274130463600159,0.16853584349155426
test_01017_straight_coedge,straight,box,left,lanczos3,half,0.021280018612742424,0.021280018612742424,0.0,0.0
test_01017_straight_coedge,straight,triangle,left,lanczos3,exact,0.020715732127428055,0.02053242176771164,-0.0001833103597164154,0.06147778034210205
test_01017_straight_coedge,straight,triangle,left,lanczos3,half,0.023162083700299263,0.023162083700299263,0.0,0.0
test_01017_straight_coedge,straight,bicubic,left,lanczos3,exact,0.020250124856829643,0.020404290407896042,0.00015416555106639862,0.059132546186447144
test_01017_straight_coedge,straight,bicubic,left,lanczos3,half,0.021413184702396393,0.021413184702396393,0.0,0.0
test_01017_straight_coedge,straight,lanczos,left,lanczos3,exact,0.02161761187016964,0.02186104841530323,0.0002434365451335907,0.05846361815929413
test_01017_straight_coedge,straight,lanczos,left,lanczos3,half,0.0201005507260561,0.0201005507260561,0.0,0.0
test_01018_sine_coedge,sine,box,left,lanczos3,exact,0.02729594148695469,0.024389874190092087,-0.0029060672968626022,0.1272285133600235
test_01018_sine_coedge,sine,box,left,lanczos3,half,0.02644851617515087,0.02644851617515087,0.0,0.0
test_01018_sine_coedge,sine,triangle,left,lanczos3,exact,0.02644113078713417,0.026638491079211235,0.00019736029207706451,0.04337307810783386
test_01018_sine_coedge,sine,triangle,left,lanczos3,half,0.027848973870277405,0.027848973870277405,0.0,0.0
