split,scene,family,condition,degradation,true_siting,assumed_siting,method,mae,psnr,edge_mae,smooth_mae,phase_px,phase_abs_px,alias_px,spread_delta_px,bleed_mass,ringing_mass
test,test_01000_sine_coedge,sine,coedge,box,left,left,zimg_bilinear,0.003990062482875076,31.75754981650414,0.041895656070188296,0.0,0.5040752677054554,0.5040752677054554,0.13899763492393735,1.4501485419523201,0.0443976643007426,4.266344365619478e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,zimg_bicubic,0.0040802070265820636,31.970023477308853,0.04268867696754612,9.347873163365183e-10,0.5036895075346388,0.5036895075346388,0.13129426586052406,1.2509013456432758,0.045400691617812426,0.004681325151718089
test,test_01000_sine_coedge,sine,coedge,box,left,left,zimg_lanczos3,0.0043588981451671265,31.984579028700985,0.04452184568990127,3.6532236706642876e-09,0.5043157846788692,0.5043157846788692,0.12811710326151737,1.1419419944386127,0.048501659982970784,0.0076313147742656014
test,test_01000_sine_coedge,sine,coedge,box,left,left,zimg_spline36,0.004275814937545771,31.993181788535182,0.043896167613032354,2.3407795067344394e-09,0.504203579714894,0.504203579714894,0.12954463793637067,1.1700982805917917,0.0475771991713416,0.006686470016748423
test,test_01000_sine_coedge,sine,coedge,box,left,left,jbu,0.002260394241431451,37.17114072522413,0.02333270896575154,0.0,0.15138343267780927,0.15138343267780927,0.13362450508879928,0.6921496953228703,0.025151509758351103,8.426251865568615e-09
test,test_01000_sine_coedge,sine,coedge,box,left,left,guided_filter,0.0008191512237164897,46.72773362074601,0.007835784582788446,0.0,0.047774678254095516,0.047774678254095516,0.02414927813268379,0.15210499712046488,0.00911470357373002,0.0004969491669076628
test,test_01000_sine_coedge,sine,coedge,box,left,left,wada_ejbf,0.0032336408305267644,33.564228481019015,0.03190583533822584,1.4954913196907866e-05,0.4093589952925576,0.4093589952925576,0.07404118302747217,0.8181568428322399,0.03558681894182449,0.0
test,test_01000_sine_coedge,sine,coedge,box,left,left,korhonen,0.0031964865598543557,33.52864158841521,0.033563108878470735,0.0,0.3773841880041313,0.3773841880041313,0.1299594860203115,1.224396412466355,0.03556750435382128,4.266344365619478e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,galosh_form,0.0034565542114673785,31.30006716218781,0.036293819220407475,0.0,0.48575737545254344,0.48575737545254344,0.4665446056963805,0.6853315506455482,0.03841752885463869,4.7541799999418716e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,lgcr_plain_jinc,0.0036349544559785324,32.189898202471255,0.03724900889929337,0.0,0.5054973926280829,0.5054973926280829,0.1265280358759987,1.1607358746521739,0.04044634345475407,3.13101779846918e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,lgcr_algo2,0.0028533209664510857,34.24568843565218,0.029581852651019636,0.0,0.35464025977890834,0.35464025977890834,0.18288672299982478,0.9798132133899544,0.03174906367036913,2.9447532835460846e-08
test,test_01000_sine_coedge,sine,coedge,box,left,left,lgcr_algo4,0.0029919391045804336,34.83523980548763,0.029877754322764564,0.0,0.3309201497235681,0.3309201497235681,0.2080993568079262,0.8521341603489743,0.033291446865491924,0.00035578505612492216
test,test_01000_sine_coedge,sine,coedge,box,left,left,lgcr_algo6,0.0030524522668684416,33.37864116722672,0.03107571976354285,0.0,0.41668875139743744,0.41668875139743744,0.11897207473881805,0.9145222208312422,0.033964799384453466,2.2263044402712868e-08
test,test_01000_sine_coedge,sine,coedge,box,left,center,zimg_bilinear,0.00621467854886312,28.573269121559747,0.06525412476306276,0.0,1.0020718935614288,1.0020718935614288,0.13125378282116507,1.7893713988604796,0.0691510694811032,3.521286305927095e-08
